city_index fo_gap_val 	 NMSE
0					1				-32.735958
0					3				-25.475564
0					5				-21.545415
0					7				-18.826785
0					9				-16.737108
0					11				-14.996668
0					13				-13.514479
0					15				-12.331404
0					17				-11.465625
0					19				-10.819506
0					21				-10.397522
city_index fo_gap_val 	 NMSE
1					1				-22.717203
1					3				-14.170600
1					5				-9.343960
1					7				-6.349177
1					9				-4.265827
1					11				-2.636651
1					13				-1.348824
1					15				-0.328185
1					17				0.384927
1					19				0.857241
1					21				1.176557
city_index fo_gap_val 	 NMSE
2					1				-34.355773
2					3				-24.595254
2					5				-19.922626
2					7				-16.974857
2					9				-14.783924
2					11				-12.990122
2					13				-11.499858
2					15				-10.285473
2					17				-9.387640
2					19				-8.742131
2					21				-8.313107
city_index fo_gap_val 	 NMSE
3					1				-22.717203
3					3				-14.170600
3					5				-9.343960
3					7				-6.349177
3					9				-4.265827
3					11				-2.636651
3					13				-1.348824
3					15				-0.328185
3					17				0.384927
3					19				0.857241
3					21				1.176557
city_index fo_gap_val 	 NMSE
4					1				-26.523062
4					3				-21.740664
4					5				-19.512626
4					7				-18.057491
4					9				-17.171386
4					11				-16.257999
4					13				-15.433289
4					15				-14.813571
4					17				-14.326684
4					19				-14.021533
4					21				-13.822143
city_index fo_gap_val 	 NMSE
5					1				-29.650748
5					3				-23.459056
5					5				-19.915689
5					7				-17.543108
5					9				-15.747904
5					11				-14.301743
5					13				-13.171670
5					15				-12.337369
5					17				-11.694012
5					19				-11.220925
5					21				-10.890405
city_index fo_gap_val 	 NMSE
6					1				-32.642180
6					3				-25.692834
6					5				-22.099990
6					7				-19.851278
6					9				-18.130110
6					11				-16.754468
6					13				-15.584036
6					15				-14.631067
6					17				-13.863655
6					19				-13.278258
6					21				-12.898796
city_index fo_gap_val 	 NMSE
7					1				-31.289026
7					3				-20.768763
7					5				-16.017174
7					7				-13.278346
7					9				-11.326053
7					11				-9.705755
7					13				-8.317867
7					15				-7.128792
7					17				-6.224563
7					19				-5.604571
7					21				-5.206162
city_index fo_gap_val 	 NMSE
8					1				-29.215636
8					3				-25.356424
8					5				-23.118624
8					7				-21.603005
8					9				-20.011867
8					11				-18.752729
8					13				-17.802086
8					15				-17.015074
8					17				-16.383796
8					19				-15.977214
8					21				-15.740594
city_index fo_gap_val 	 NMSE
9					1				-26.733012
9					3				-20.768167
9					5				-17.798366
9					7				-15.862956
9					9				-14.554809
9					11				-13.470299
9					13				-12.538161
9					15				-11.752012
9					17				-11.103142
9					19				-10.659890
9					21				-10.362361
city_index fo_gap_val 	 NMSE
10					1				-29.334124
10					3				-23.437981
10					5				-20.596015
10					7				-19.043301
10					9				-18.084467
10					11				-17.256725
10					13				-16.492131
10					15				-15.822472
10					17				-15.212601
10					19				-14.680539
10					21				-14.298532
city_index fo_gap_val 	 NMSE
11					1				-25.543079
11					3				-22.876564
11					5				-20.835740
11					7				-19.099550
11					9				-17.765879
11					11				-16.633097
11					13				-15.641083
11					15				-14.824751
11					17				-14.189771
11					19				-13.738504
11					21				-13.447926
city_index fo_gap_val 	 NMSE
