city_index fo_gap_val 	 NMSE
0					1				-33.453087
0					3				-28.228990
0					5				-27.429606
0					7				-27.625446
0					9				-27.935939
0					11				-26.530868
0					13				-26.491088
0					15				-26.500934
0					17				-27.572312
0					19				-25.141923
0					21				-25.830471
city_index fo_gap_val 	 NMSE
1					1				-24.346953
1					3				-22.134631
1					5				-21.019790
1					7				-19.098832
1					9				-18.109965
1					11				-18.544645
1					13				-17.875069
1					15				-17.625488
1					17				-17.406626
1					19				-17.045329
1					21				-17.224801
city_index fo_gap_val 	 NMSE
2					1				-34.348363
2					3				-25.045655
2					5				-24.805143
2					7				-28.197112
2					9				-26.089122
2					11				-26.508953
2					13				-25.239739
2					15				-25.998351
2					17				-24.941006
2					19				-25.361743
2					21				-23.894090
city_index fo_gap_val 	 NMSE
3					1				-24.753358
3					3				-21.534660
3					5				-15.617972
3					7				-19.046106
3					9				-15.695512
3					11				-18.531754
3					13				-18.011083
3					15				-17.232127
3					17				-12.326398
3					19				-16.645536
3					21				-17.490923
city_index fo_gap_val 	 NMSE
4					1				-26.318235
4					3				-18.952514
4					5				-20.411213
4					7				-20.731021
4					9				-20.029425
4					11				-19.044228
4					13				-18.052904
4					15				-17.609398
4					17				-16.494701
4					19				-16.012233
4					21				-16.990650
city_index fo_gap_val 	 NMSE
5					1				-31.423359
5					3				-25.380869
5					5				-25.487486
5					7				-24.815090
5					9				-23.726559
5					11				-23.497452
5					13				-21.760603
5					15				-22.098422
5					17				-22.684043
5					19				-22.414362
5					21				-22.202903
city_index fo_gap_val 	 NMSE
6					1				-29.931450
6					3				-26.392108
6					5				-25.773352
6					7				-23.904598
6					9				-22.288190
6					11				-22.481871
6					13				-22.521981
6					15				-17.313433
6					17				-21.415643
6					19				-20.985544
6					21				-19.400004
city_index fo_gap_val 	 NMSE
7					1				-33.190572
7					3				-27.343390
7					5				-23.878396
7					7				-25.189884
7					9				-24.726793
7					11				-24.706725
7					13				-25.285736
7					15				-23.171958
7					17				-23.373198
7					19				-23.649757
7					21				-23.187978
city_index fo_gap_val 	 NMSE
8					1				-29.816591
8					3				-26.227735
8					5				-26.663706
8					7				-26.181730
8					9				-25.266260
8					11				-24.771458
8					13				-24.004970
8					15				-23.914758
8					17				-23.961274
8					19				-24.024672
8					21				-24.113868
city_index fo_gap_val 	 NMSE
9					1				-27.324920
9					3				-21.209204
9					5				-21.417727
9					7				-21.807736
9					9				-22.423963
9					11				-23.244995
9					13				-22.302631
9					15				-18.766241
9					17				-21.568488
9					19				-20.374673
9					21				-20.469134
city_index fo_gap_val 	 NMSE
10					1				-27.474147
10					3				-22.066520
10					5				-21.086672
10					7				-21.843884
10					9				-21.733659
10					11				-22.180628
10					13				-19.811036
10					15				-21.040367
10					17				-21.763783
10					19				-20.944081
10					21				-21.071396
city_index fo_gap_val 	 NMSE
11					1				-25.868791
11					3				-24.633099
11					5				-22.826260
11					7				-23.205682
11					9				-22.074097
11					11				-21.425114
11					13				-21.326185
11					15				-21.398291
11					17				-21.212216
11					19				-20.859057
11					21				-20.797650
city_index fo_gap_val 	 NMSE
