city_index fo_gap_val 	 NMSE
0					1				-33.022036
0					3				-28.325748
0					5				-25.327456
0					7				-27.798824
0					9				-28.306145
0					11				-26.218911
0					13				-26.075880
0					15				-25.961475
0					17				-25.702127
0					19				-24.276653
0					21				-23.865858
city_index fo_gap_val 	 NMSE
1					1				-27.755289
1					3				-24.351111
1					5				-22.229082
1					7				-20.906537
1					9				-19.440948
1					11				-17.988397
1					13				-17.496889
1					15				-18.423683
1					17				-19.012013
1					19				-18.068483
1					21				-11.586601
city_index fo_gap_val 	 NMSE
2					1				-34.578650
2					3				-29.456372
2					5				-27.834199
2					7				-26.350759
2					9				-24.969161
2					11				-25.488072
2					13				-24.044470
2					15				-24.645258
2					17				-24.888540
2					19				-24.965636
2					21				-26.659639
city_index fo_gap_val 	 NMSE
3					1				-26.867592
3					3				-21.208188
3					5				-21.053867
3					7				-19.037861
3					9				-19.343496
3					11				-18.364890
3					13				-16.911409
3					15				-17.947197
3					17				-16.655913
3					19				-19.898044
3					21				-19.552082
city_index fo_gap_val 	 NMSE
4					1				-26.747945
4					3				-22.565144
4					5				-20.651352
4					7				-20.116730
4					9				-20.425838
4					11				-20.217095
4					13				-18.153687
4					15				-17.079712
4					17				-16.221553
4					19				-15.584678
4					21				-14.932570
city_index fo_gap_val 	 NMSE
5					1				-31.815311
5					3				-29.227149
5					5				-26.166449
5					7				-27.679517
5					9				-24.568018
5					11				-27.048514
5					13				-25.480349
5					15				-23.442615
5					17				-23.823992
5					19				-23.890017
5					21				-23.423593
city_index fo_gap_val 	 NMSE
6					1				-32.686866
6					3				-28.401731
6					5				-25.090334
6					7				-24.642900
6					9				-24.253875
6					11				-24.578116
6					13				-23.799383
6					15				-22.374327
6					17				-22.165226
6					19				-22.688264
6					21				-22.688716
city_index fo_gap_val 	 NMSE
7					1				-31.993957
7					3				-25.843061
7					5				-25.855976
7					7				-24.698348
7					9				-23.576227
7					11				-24.461933
7					13				-24.310858
7					15				-24.391525
7					17				-25.808201
7					19				-20.935450
7					21				-23.393394
city_index fo_gap_val 	 NMSE
8					1				-29.757782
8					3				-27.495507
8					5				-26.191052
8					7				-26.772663
8					9				-25.544463
8					11				-24.902032
8					13				-25.904145
8					15				-25.654646
8					17				-25.530085
8					19				-25.751523
8					21				-25.668314
city_index fo_gap_val 	 NMSE
9					1				-27.275366
9					3				-24.170398
9					5				-22.572555
9					7				-22.225931
9					9				-22.830385
9					11				-25.230521
9					13				-23.800553
9					15				-22.305746
9					17				-23.581061
9					19				-23.244334
9					21				-22.902645
city_index fo_gap_val 	 NMSE
10					1				-27.680250
10					3				-25.658190
10					5				-25.687943
10					7				-22.719033
10					9				-24.149406
10					11				-24.977051
10					13				-21.344581
10					15				-25.802192
10					17				-25.215179
10					19				-21.929602
10					21				-24.723346
city_index fo_gap_val 	 NMSE
11					1				-25.927534
11					3				-24.600614
11					5				-23.904009
11					7				-23.850570
11					9				-23.366797
11					11				-22.376726
11					13				-22.182177
11					15				-21.644974
11					17				-23.204847
11					19				-21.529408
11					21				-20.967716
city_index fo_gap_val 	 NMSE
